Coverage ErrorRate EditDis n Freq
150 0 0 10 3091
150 0 0 11 1104
150 0 0 12 468
150 0 0 13 210
150 0 0 14 45
150 0 0 15 16
150 0 2 1 24
150 0 2 2 132
150 0 2 3 579
150 0 2 4 1862
150 0 2 5 4578
150 0 2 6 9749
150 0 2 7 17308
150 0 2 8 26762
150 0 2 9 37289
150 0 2 10 46719
150 0 2 11 53553
150 0 2 12 55487
150 0 2 13 52036
150 0 2 14 46300
150 0 2 15 40186
150 0 2 16 31273
150 0 2 17 22519
150 0 2 18 16019
150 0 2 19 10288
150 0 2 20 6663
150 0 2 21 3791
150 0 2 22 2112
150 0 2 23 1255
150 0 2 24 590
150 0 2 25 437
150 0 2 26 117
150 0 2 27 110
150 0 2 28 55
150 0 2 29 21
150 0 2 30 18
150 0 4 3 1
150 0 4 4 2
150 0 4 5 11
150 0 4 6 36
150 0 4 7 150
150 0 4 8 369
150 0 4 9 854
150 0 4 10 1906
150 0 4 11 3685
150 0 4 12 5953
150 0 4 13 9688
150 0 4 14 14516
150 0 4 15 19819
150 0 4 16 26785
150 0 4 17 31899
150 0 4 18 38313
150 0 4 19 40532
150 0 4 20 42708
150 0 4 21 41120
150 0 4 22 40444
150 0 4 23 36008
150 0 4 24 31538
150 0 4 25 25914
150 0 4 26 21514
150 0 4 27 16134
150 0 4 28 12160
150 0 4 29 8520
150 0 4 30 5883
150 0 4 31 4254
150 0 4 32 2919
150 0 4 33 1614
150 0 4 34 1002
150 0 4 35 698
150 0 4 36 391
150 0 4 37 174
150 0 4 38 133
150 0 4 39 75
150 0 4 40 47
150 0 4 41 25
150 0 4 42 11
150 0 4 44 11
150 0 4 45 17
150 0 6 9 2
150 0 6 10 8
150 0 6 11 36
150 0 6 12 109
150 0 6 13 193
150 0 6 14 334
150 0 6 15 715
150 0 6 16 1317
150 0 6 17 2427
150 0 6 18 3524
150 0 6 19 5795
150 0 6 20 8853
150 0 6 21 11732
150 0 6 22 15824
150 0 6 23 20368
150 0 6 24 24316
150 0 6 25 28608
150 0 6 26 31451
150 0 6 27 34654
150 0 6 28 36051
150 0 6 29 36504
150 0 6 30 35127
150 0 6 31 31864
150 0 6 32 29815
150 0 6 33 26311
150 0 6 34 22988
150 0 6 35 18802
150 0 6 36 15060
150 0 6 37 12094
150 0 6 38 9592
150 0 6 39 6920
150 0 6 40 5129
150 0 6 41 3707
150 0 6 42 2404
150 0 6 43 1849
150 0 6 44 1145
150 0 6 45 666
150 0 6 46 593
150 0 6 47 434
150 0 6 48 229
150 0 6 49 106
150 0 6 50 55
150 0 6 51 51
150 0 6 52 21
150 0 6 53 9
150 0 6 55 41
150 0.1 0 1 34318
150 0.1 0 2 68271
150 0.1 0 3 91508
150 0.1 0 4 91805
150 0.1 0 5 74382
150 0.1 0 6 49875
150 0.1 0 7 28184
150 0.1 0 8 14310
150 0.1 0 9 5540
150 0.1 0 10 2640
150 0.1 0 11 1008
150 0.1 0 12 390
150 0.1 0 13 98
150 0.1 0 14 15
150 0.1 2 1 1034
150 0.1 2 2 2312
150 0.1 2 3 3659
150 0.1 2 4 5195
150 0.1 2 5 8054
150 0.1 2 6 12690
150 0.1 2 7 19713
150 0.1 2 8 29257
150 0.1 2 9 39843
150 0.1 2 10 47343
150 0.1 2 11 53694
150 0.1 2 12 53696
150 0.1 2 13 50023
150 0.1 2 14 45101
150 0.1 2 15 35748
150 0.1 2 16 27328
150 0.1 2 17 19512
150 0.1 2 18 13403
150 0.1 2 19 8296
150 0.1 2 20 5025
150 0.1 2 21 3147
150 0.1 2 22 1636
150 0.1 2 23 1053
150 0.1 2 24 409
150 0.1 2 25 262
150 0.1 2 26 85
150 0.1 2 27 69
150 0.1 2 29 9
150 0.1 4 2 2
150 0.1 4 3 18
150 0.1 4 4 46
150 0.1 4 5 137
150 0.1 4 6 306
150 0.1 4 7 722
150 0.1 4 8 1259
150 0.1 4 9 2102
150 0.1 4 10 3477
150 0.1 4 11 5304
150 0.1 4 12 8268
150 0.1 4 13 11974
150 0.1 4 14 16947
150 0.1 4 15 22556
150 0.1 4 16 28088
150 0.1 4 17 33999
150 0.1 4 18 37548
150 0.1 4 19 41545
150 0.1 4 20 42162
150 0.1 4 21 40731
150 0.1 4 22 38330
150 0.1 4 23 34238
150 0.1 4 24 29357
150 0.1 4 25 24213
150 0.1 4 26 19162
150 0.1 4 27 14313
150 0.1 4 28 10241
150 0.1 4 29 7282
150 0.1 4 30 4918
150 0.1 4 31 3350
150 0.1 4 32 2156
150 0.1 4 33 1314
150 0.1 4 34 798
150 0.1 4 35 336
150 0.1 4 36 270
150 0.1 4 37 166
150 0.1 4 38 112
150 0.1 4 39 47
150 0.1 4 40 24
150 0.1 4 41 15
150 0.1 6 6 2
150 0.1 6 7 2
150 0.1 6 8 8
150 0.1 6 9 27
150 0.1 6 10 65
150 0.1 6 11 140
150 0.1 6 12 246
150 0.1 6 13 451
150 0.1 6 14 850
150 0.1 6 15 1405
150 0.1 6 16 2166
150 0.1 6 17 3512
150 0.1 6 18 5025
150 0.1 6 19 7282
150 0.1 6 20 9652
150 0.1 6 21 13549
150 0.1 6 22 17334
150 0.1 6 23 21559
150 0.1 6 24 26160
150 0.1 6 25 29561
150 0.1 6 26 32618
150 0.1 6 27 35013
150 0.1 6 28 35918
150 0.1 6 29 35664
150 0.1 6 30 33904
150 0.1 6 31 31481
150 0.1 6 32 28761
150 0.1 6 33 24890
150 0.1 6 34 21329
150 0.1 6 35 17352
150 0.1 6 36 13919
150 0.1 6 37 10787
150 0.1 6 38 8400
150 0.1 6 39 6136
150 0.1 6 40 4128
150 0.1 6 41 2854
150 0.1 6 42 1996
150 0.1 6 43 1259
150 0.1 6 44 1002
150 0.1 6 45 535
150 0.1 6 46 311
150 0.1 6 47 229
150 0.1 6 48 152
150 0.1 6 49 61
150 0.1 6 50 100
150 0.1 6 51 13
150 0.1 6 52 21
150 0.1 6 53 4
150 0.5 0 1 43964
150 0.5 0 2 76434
150 0.5 0 3 88360
